id,name,irish_name,county,country,type
18085,Cullahill Mountain,,Laois,Republic of Ireland,Townland
18086,Cullairbaun,An Coiléar Bán,Galway,Republic of Ireland,Townland
18087,Cullamus,Colamas,Limerick,Republic of Ireland,Townland
18088,Cullane East,Collán Thoir,Cork,Republic of Ireland,Townland
18089,Cullane Middle,Collán Láir,Limerick,Republic of Ireland,Townland
18090,Cullane North,Collán Thuaidh,Limerick,Republic of Ireland,Townland
18091,Cullane South,Collán Theas,Limerick,Republic of Ireland,Townland
18092,Cullane West,Collán Thiar,Cork,Republic of Ireland,Townland
18093,Cullaun,,Clare,Republic of Ireland,Townland
18094,Cullaun,An Collán,Kilkenny,Republic of Ireland,Townland
18095,Cullaun,Collán,Tipperary,Republic of Ireland,Townland
18096,Culleen,An Coillín,Clare,Republic of Ireland,Townland
18097,Culleen,An Coillín,Clare,Republic of Ireland,Townland
18098,Culleen,An Coillín,Galway,Republic of Ireland,Townland
18099,Culleen,An Coillín,Offaly,Republic of Ireland,Townland
18100,Culleen,An Coillín,Tipperary,Republic of Ireland,Townland
18101,Culleenabohoge,,Westmeath,Republic of Ireland,Townland
18102,Culleenagh,An Choillíneach,Tipperary,Republic of Ireland,Townland
18103,Culleenaghamore,,Roscommon,Republic of Ireland,Townland
18104,Culleenagower,,Westmeath,Republic of Ireland,Townland
18105,Culleenalena,Coillín an Léana,Galway,Republic of Ireland,Townland
18106,Culleenamore,Coillín na mBodhar,Sligo,Republic of Ireland,Townland
18107,Culleenanory,,Roscommon,Republic of Ireland,Townland
18108,Culleenatreen,Coillín an Triain,Roscommon,Republic of Ireland,Townland
18109,Culleen Beg,An Coillín Beag,Westmeath,Republic of Ireland,Townland
18110,Culleendarragh,,Westmeath,Republic of Ireland,Townland
18111,Culleenduff,,Sligo,Republic of Ireland,Townland
18112,Culleenmore,An Coillín Mór,Longford,Republic of Ireland,Townland
18113,Culleen More,An Coillín Mór,Westmeath,Republic of Ireland,Townland
18114,Culleens,Na Coillíní,Mayo,Republic of Ireland,Townland
18115,Culleens,Na Coillíní,Sligo,Republic of Ireland,Town/Village
